"","Pre-1950","1950-1969","1970-1989","1990-2004","2005-2019"
"Single-family detached",62879,21204,7255,6363,1901
"Single-family attached",2373,1181,2712,950,1061
"2-4 units",5156,939,815,245,138
"5-19 units",312,493,828,203,210
"20-49 units",319,621,1257,306,336
"50+ units",99,474,2502,719,1245
