"","Pre-1950","1950-1969","1970-1989","1990-2004","2005-2019"
"Single-family detached",71289.6463382353,71167.871953125,63481.1821818182,97926.2158058824,82687.8765904167
"Single-family attached",52103.7285178571,75792.3512777778,76642.5402857143,78530.53625,86903.9458664384
"2-4 units",67142.1045208333,50507.25,53635.504,39582.623925,33018.9794711538
"5-19 units",49439.6433,54937.194988,55913.437384058,42057.4289318182,33437.9487446808
"20-49 units",51470.576744,55935.5535,56101.542703125,43253.0215333333,41304.08629
"50+ units",19303.207,42042.7042565217,53672.45,32331.3525,96522.7815102041
