"","Pre-1950","1950-1969","1970-1989","1990-2004","2005-2019"
"Single-family detached",4998,1566,582,460,144
"Single-family attached",344,150,244,109,88
"2-4 units",1216,551,398,129,58
"5-19 units",671,665,493,148,91
"20-49 units",322,404,398,130,95
"50+ units",192,245,482,227,348
