"","Pre-1950","1950-1969","1970-1989","1990-2004","2005-2019"
"Single-family detached",1451,487,167,60,66
"Single-family attached",92,14,182,14,44
"2-4 units",358,76,45,47,24
"5-19 units",66,156,69,0,15
"20-49 units",27,90,140,0,0
"50+ units",117,12,38,71,134
