"","Pre-1950","1950-1969","1970-1989","1990-2004","2005-2019"
"Single-family detached","130062.9062625","114516.937333333","145632.239533333","167156.811752","194983.2405"
"Single-family attached","102090.909125","125003.983290323","137401.472","160170.985892857","150071.229731562"
"2-4 units","105855.189428571","91558.8932142857","72758.0302772727","108605.974409091","103846.04125"
"5-19 units","64201.6475384615","119109.263909091","80106.5866921739","126524.2535","152504.89943"
"20-49 units","121591.988809574","86331.8373631579","70312.9230714286","170635.233484783","108057.8047"
"50+ units","*","99689.2054545455","92267.5638461538","112354.328666667","150225.368125"
