"","Pre-1950","1950-1969","1970-1989","1990-2004","2005-2019"
"Single-family detached",116166.675,101014.5,116025.5534,155587.68,141867.094903846
"Single-family attached",68104.1929428572,81680.453125,103950.886478261,95138.3359903846,133314.22
"2-4 units",74616.7894939024,52069.9764631579,55206.1280571429,42310.2319714286,39637.7082204545
"5-19 units",50566.540625,55882.6149230769,59123.0696796117,43123.4203773585,39830.8660769231
"20-49 units",55819.348,59319.125,58609.0474571428,46578.9093846154,56952.4214375
"50+ units",19633.98864,48402.5595666667,63840.9859182609,50954.5123270492,106065.225
