"","Pre-1950","1950-1969","1970-1989","1990-2004","2005-2019"
"Single-family detached",15807,6277,2841,1527,307
"Single-family attached",3827,1594,1598,783,399
"2-4 units",17157,9725,7243,2371,1067
"5-19 units",12447,12081,8691,2637,1713
"20-49 units",5991,7736,6639,2056,1419
"50+ units",3966,4436,6973,3555,4548
